video_id,video_title,view_count,like_count,dislike_count,comment_count,playlist_id
h7Dc4FYZ1iw,"Pyaar Kartey Hain (Song): Payal Dev, Laqshay Kapoor | Neil Bhat, Aishwarya Sharma | Kunaal Vermaa",35287,23626,,2474,UUq-Fj5jknLsUf-MWSy4_brA
ofwOFYL8phQ,"YO YO HONEY SINGH, SPITTING FACTS WITH BONITA🔥 | GLORY | #YTSHORTS",41711,1996,,48,UUq-Fj5jknLsUf-MWSy4_brA
FvfZc53PgcI,"""Puri Family Bani, Ameer Se Gareeb!"" | Irrfan Khan, Saba Qamar, Deepak | Hindi Medium (Movie Scene)",32544,443,,40,UUq-Fj5jknLsUf-MWSy4_brA
3Q5CP3g-QD4,"""Gareeb Quota Se Admission Hojaega Kya?"" Hindi Medium (Movie Scene) | Irrfan Khan, Saba Qamar",20694,263,,22,UUq-Fj5jknLsUf-MWSy4_brA
YV5k1mJQ9BE,"Mere Mehboob🌹 Tera Tadpna Toh Banta Hai😉🔥 | Triptii Dimri, Rajkummar | Vicky Vidya Ka Woh Wala Video",382561,7608,,102,UUq-Fj5jknLsUf-MWSy4_brA
77khTCYv5Vw,"Tum Jo Mile Ho (Audio): Rajkummar Rao, Triptii, Sachin-Jigar, Vishal | Vicky Vidya Ka Woh Wala Video",68400,2312,,182,UUq-Fj5jknLsUf-MWSy4_brA
ig0p_MhzKSo,"Koi Ho Na Ho😥, Par Tum Saath Ho Na❤ | Zindagi Song | Vishal Mishra | Pankaj Kapur | Binny & Family",5285,300,,20,UUq-Fj5jknLsUf-MWSy4_brA
atKa1Nk0rJ0,"Heer Aasmani Indo Tech Remix | Hrithik Roshan, Deepika, Anil K, Vishal-Sheykhar, Bpraak, Aroma (IND)",53179,1941,,149,UUq-Fj5jknLsUf-MWSy4_brA
zrtR4HjIi8k,Ish yo boy Badshah on #IndianIdol!,19571,765,,632,UUq-Fj5jknLsUf-MWSy4_brA
UtQ7ntLkGOI,"Trpitii Dimri's Dance Moves😍🔥 & Rajkummar Rao's Bindaas Style😎 | Mere Mehboob🥀 | Sachin-Jigar,Shilpa",656239,16312,,88,UUq-Fj5jknLsUf-MWSy4_brA
WS38X5hvha8,"Devara x Jigra - Full Interview | NTR, Koratala Siva, Karan Johar, Alia Bhatt | Sep27",33407,1383,,126,UUq-Fj5jknLsUf-MWSy4_brA
UdsO4SM4wKI,"Mere Mehboob | Vicky Vidya Ka Woh Wala Video | Rajkummar | Triptii Dimri |Sachin-Jigar,Shilpa,Sachet",15859506,337091,,47579,UUq-Fj5jknLsUf-MWSy4_brA
0slpZFtpdD8,YO YO HONEY SINGH's BONITA IS TRENDING EVERYWHERE🔥🔥 | #YTSHORTS,46372,1951,,36,UUq-Fj5jknLsUf-MWSy4_brA
4u91f5IQuGM,"Devara x Jigra Interview (Promo) | NTR, Karan Johar, Alia Bhatt | T-Series",23446,853,,96,UUq-Fj5jknLsUf-MWSy4_brA
5eBWs0hnNMs,"Visfot: Kamli Naam Piya Da (Lyrical Video) | Riteish Deshmukh | Fardeen Khan | Aftab Hashim, Amjad N",6558,193,,33,UUq-Fj5jknLsUf-MWSy4_brA
