Unnamed: 0,channel_title,channel_id,description,view_count,subscriber_count,video_count,Category,playlist_id
0,T-Series,UCq-Fj5jknLsUf-MWSy4_brA,"""Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.
T-Series is associated with music industry from past three decades, having ample catalogue of music comprising plenty of languages that covers the length & breadth of India. We believe after silence, nearest to expressing the inexpressible is Music. So, all the music lovers who believe in magic of music come join us and live the magic of music with T-Series.",267112024995,274000000,21739,Music,UUq-Fj5jknLsUf-MWSy4_brA
1,Music,UC-9-kyTW8ZkZNDHQJ6FgpwQ,"Visit the YouTube Music Channel to find today’s top talent, featured artists, and playlists. Subscribe to see the latest in the music world.
This channel was generated automatically by YouTube's video discovery system.",0,121000000,0,Music,UU-9-kyTW8ZkZNDHQJ6FgpwQ
2,Zee Music Company,UCFFbwnve3yF62-tVXkTyHqg,"Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more than 3,818 movie titles from premiere studios featuring iconic film stars, ZEEL houses the world’s largest Hindi film library.

Zee Music Company
Facebook - https://www.facebook.com/zeemusiccompany
Twitter - https://twitter.com/ZeeMusicCompany",69639694195,110000000,12150,Music,UUFFbwnve3yF62-tVXkTyHqg
3,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,"BLACKPINK Official YouTube Channel
블랙핑크 공식 유튜브 채널입니다.

JISOO, JENNIE, ROSÉ, LISA
지수, 제니, 로제, 리사",36756090437,94800000,603,Music,UUOmHUn--16B90oW2L6FRR3A
4,BANGTANTV,UCLkAepWjdylmXSltofFvsYQ,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.,23675450062,79000000,2606,Music,UULkAepWjdylmXSltofFvsYQ
5,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR and more.",35992803377,75700000,2058,Music,UU3IZKseVpdzPSBaWxBxundA
6,Justin Bieber,UCIwFjwMjI0y7PDBVEO9-bkQ,Help change the world. JUSTICE the album out now https://JustinBieber.lnk.to/Justice,32963369076,73500000,249,Music,UUIwFjwMjI0y7PDBVEO9-bkQ
7,T-Series Bhakti Sagar,UCaayLD9i5x4MmIoVZxXSv_g,"T-Series being the biggest Music Company not only enjoys it's top position in Bollywood music but also boasts of being the Biggest Bhakti Channel. T-Series Bhakti Sagar is dedicated to bring an experience of Divine spirituality comprising of a huge Catalogue of Bhajans of different Gods. From Bhajans of Atma-Bhakti to Ishwara-Bhakti, Ishta Devata-Bhakti, Guru-Bhakti and many more, the channel would take you on a Bhakti Marga of spirituality and Peace. So, surrender yourself to God only with T-Series Bhakti Sagar.",35581016814,70200000,28656,Music,UUaayLD9i5x4MmIoVZxXSv_g
8,Shemaroo Filmi Gaane,UCP6uH_XlsxrXwZQ4DlqbqPg,"Welcome to Shemaroo Filmi Gaane, a treat for every music lover and Bollywood connoisseur! Chart buster songs from super-hit movies like Anand, Don, Bobby, Prem Rog and more. 

Celebrating the Golden Jubilee, Shemaroo Entertainment Ltd is among few entertainment companies that has hallmarked several pioneering efforts with its innovative and out- of-the- box thinking. Founded in 1962, Shemaroo Entertainment Ltd is an established media content house in the country, active in Content Acquisition, Value Addition to Content and Content Distribution with a large content library of over 2900 titles.Shemaroo is engaged in the distribution of content for satellite channels, physical formats and emerging digital technologies like the Mobile, Internet, Broadband, IPTV and DTH among others. With its partnership with the major telecom operators and other digital media platforms, Shemaroo is at the forefront of the digital age. 

SUBSCRIBE now for Old & New Bollywood Songs !!",30008986523,69500000,8776,Music,UUP6uH_XlsxrXwZQ4DlqbqPg
9,Tips Official,UCJrDMFOdv1I2k8n9oK_V21w,"The proud history of Tips Music Limited (Formerly Known as Tips Industries Limited) stretches back over four decades ago, it was founded by Kumar S. Taurani and Ramesh S. Taurani in 1975. Its distributors serve more than 1,000 wholesalers and 400,000 retailers across India. A treat for every music lover and Bollywood connoisseur! Chart-buster songs from super-hit movies like Dil Hai Tumhara, Ramaiya Vastavaiya, Ajab Prem Ki Gazab Kahani and more.

Tips Music - Home To India's Biggest Music Hits. Subscribe to our channel to listen to chartbusters in the making, see premieres of blockbuster videos and get your daily dose of some great music right here.

Subscribe to the Tips Official YouTube channel for all the latest and The Must Have Hits.
",41174611792,68900000,6346,Music,UUJrDMFOdv1I2k8n9oK_V21w
10,Gaming,UCOpNcN46UbXVtpKMrmU4Abg,"YouTube's gaming channel, featuring news, reviews, playthroughs, and more.
This channel was generated automatically by YouTube's video discovery system.",0,93000000,0,Gaming,UUOpNcN46UbXVtpKMrmU4Abg
